Symbol,NSE_Ticker,Traded_As,Series,Date,Prev_Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover_Lacs,No_of_Trades,Delivery_Qty,Delivery_Pct
CDSL,NSE:CDSL,CDSL,EQ,2025-12-02,1604.5,1600.0,1607.0,1579.0,1591.0,1592.1,1593.23,1046619,16675.04,41260,425178.0,40.62
CDSL,NSE:CDSL,CDSL,EQ,2025-12-03,1592.1,1590.0,1591.7,1544.1,1554.8,1550.5,1560.75,1568685,24483.23,59968,700573.0,44.66
CDSL,NSE:CDSL,CDSL,EQ,2025-12-04,1550.5,1549.0,1559.5,1531.0,1536.0,1536.3,1542.07,1554894,23977.54,72815,603536.0,38.82
CDSL,NSE:CDSL,CDSL,EQ,2025-12-05,1536.3,1535.0,1554.6,1527.9,1554.0,1550.6,1542.66,1187921,18325.63,43690,358823.0,30.21
CDSL,NSE:CDSL,CDSL,EQ,2025-12-08,1550.6,1550.0,1565.9,1505.0,1519.5,1520.9,1534.58,1629503,25005.99,57466,547735.0,33.61
CDSL,NSE:CDSL,CDSL,EQ,2025-12-09,1520.9,1505.0,1523.9,1458.4,1520.0,1517.2,1495.85,2122000,31741.84,79416,500370.0,23.58
CDSL,NSE:CDSL,CDSL,EQ,2025-12-10,1517.2,1517.2,1523.1,1474.0,1477.4,1479.3,1494.44,1602602,23949.97,57017,651483.0,40.65
CDSL,NSE:CDSL,CDSL,EQ,2025-12-11,1479.3,1481.0,1530.0,1477.0,1520.0,1522.7,1508.99,1810907,27326.33,46666,526190.0,29.06
CDSL,NSE:CDSL,CDSL,EQ,2025-12-12,1522.7,1531.0,1537.4,1518.0,1524.0,1526.5,1527.52,907070,13855.66,32677,253621.0,27.96
CDSL,NSE:CDSL,CDSL,EQ,2025-12-15,1526.5,1518.9,1522.6,1506.0,1514.7,1517.6,1514.52,720157,10906.91,26447,182300.0,25.31
CDSL,NSE:CDSL,CDSL,EQ,2025-12-16,1517.6,1508.0,1514.7,1495.0,1496.0,1501.2,1502.94,798177,11996.1,31948,237076.0,29.7
CDSL,NSE:CDSL,CDSL,EQ,2025-12-17,1501.2,1501.2,1509.6,1472.6,1477.0,1477.3,1484.69,1256442,18654.3,47378,517636.0,41.2
CDSL,NSE:CDSL,CDSL,EQ,2025-12-18,1477.3,1477.0,1492.9,1470.6,1489.0,1489.6,1484.1,1015587,15072.32,35408,272619.0,26.84
CDSL,NSE:CDSL,CDSL,EQ,2025-12-19,1489.6,1493.0,1501.9,1481.3,1497.0,1499.6,1494.37,817447,12215.66,28503,263060.0,32.18
CDSL,NSE:CDSL,CDSL,EQ,2025-12-22,1499.6,1506.0,1524.0,1503.3,1518.5,1518.7,1514.97,975094,14772.37,36574,342279.0,35.1
CDSL,NSE:CDSL,CDSL,EQ,2025-12-23,1518.7,1522.9,1524.0,1506.9,1513.1,1515.5,1517.33,772845,11726.64,29663,296180.0,38.32
CDSL,NSE:CDSL,CDSL,EQ,2025-12-24,1515.5,1513.0,1520.9,1496.0,1498.0,1498.9,1507.48,764304,11521.71,30417,325708.0,42.61
CDSL,NSE:CDSL,CDSL,EQ,2025-12-26,1498.9,1496.0,1506.4,1476.9,1479.4,1482.7,1489.31,1213369,18070.85,43131,620696.0,51.15
CDSL,NSE:CDSL,CDSL,EQ,2025-12-29,1482.7,1482.7,1484.0,1460.4,1462.8,1463.5,1470.5,1145867,16849.95,47488,527062.0,46.0
CDSL,NSE:CDSL,CDSL,EQ,2025-12-30,1463.5,1459.0,1466.9,1421.0,1436.2,1433.9,1437.41,2130446,30623.33,97771,1012611.0,47.53
CDSL,NSE:CDSL,CDSL,EQ,2025-12-31,1433.9,1436.0,1456.0,1435.0,1445.7,1443.6,1445.01,1144940,16544.47,51007,508985.0,44.46
CDSL,NSE:CDSL,CDSL,EQ,2026-01-01,1443.6,1443.7,1452.0,1436.0,1446.5,1446.2,1444.57,681478,9844.45,31203,249176.0,36.56
CDSL,NSE:CDSL,CDSL,EQ,2026-01-02,1446.2,1446.2,1467.8,1440.9,1466.6,1466.6,1461.28,1061313,15508.73,41333,497243.0,46.85
CDSL,NSE:CDSL,CDSL,EQ,2026-01-05,1466.6,1465.0,1479.0,1452.1,1467.8,1468.6,1464.43,1534959,22478.34,57235,654406.0,42.63
CDSL,NSE:CDSL,CDSL,EQ,2026-01-06,1468.6,1469.0,1477.4,1448.3,1456.1,1457.0,1462.05,917193,13409.78,32514,298137.0,32.51
CDSL,NSE:CDSL,CDSL,EQ,2026-01-07,1457.0,1452.1,1479.9,1446.3,1474.0,1475.6,1470.84,854521,12568.63,28491,338876.0,39.66
CDSL,NSE:CDSL,CDSL,EQ,2026-01-08,1475.6,1473.9,1480.3,1433.5,1436.0,1438.2,1447.76,1808746,26186.34,55918,853791.0,47.2
CDSL,NSE:CDSL,CDSL,EQ,2026-01-09,1438.2,1432.7,1450.9,1403.1,1411.0,1409.7,1425.87,2028398,28922.29,70516,750843.0,37.02
CDSL,NSE:CDSL,CDSL,EQ,2026-01-12,1409.7,1408.0,1429.6,1395.1,1419.4,1417.5,1413.7,1764414,24943.48,56192,448909.0,25.44
CDSL,NSE:CDSL,CDSL,EQ,2026-01-13,1417.5,1420.0,1437.4,1402.1,1419.0,1419.9,1417.96,1288820,18275.01,42210,350211.0,27.17
CDSL,NSE:CDSL,CDSL,EQ,2026-01-14,1419.9,1419.0,1432.3,1410.0,1415.0,1415.6,1420.24,1253505,17802.81,33510,508577.0,40.57
CDSL,NSE:CDSL,CDSL,EQ,2026-01-16,1415.6,1417.0,1451.7,1417.0,1435.0,1434.3,1437.22,1832515,26337.28,49813,521366.0,28.45
CDSL,NSE:CDSL,CDSL,EQ,2026-01-19,1434.3,1430.0,1437.5,1410.1,1415.0,1414.9,1422.06,951384,13529.27,33584,250365.0,26.32
CDSL,NSE:CDSL,CDSL,EQ,2026-01-20,1414.9,1415.0,1415.2,1334.4,1342.6,1341.0,1367.4,3660268,50050.51,130556,1421273.0,38.83
CDSL,NSE:CDSL,CDSL,EQ,2026-01-21,1341.0,1337.6,1352.8,1310.9,1336.9,1333.8,1333.33,2164548,28860.59,71436,555011.0,25.64
CDSL,NSE:CDSL,CDSL,EQ,2026-01-22,1333.8,1345.0,1382.0,1345.0,1358.7,1356.6,1366.04,1454883,19874.26,42827,374825.0,25.76
CDSL,NSE:CDSL,CDSL,EQ,2026-01-23,1356.6,1356.6,1374.0,1322.5,1326.6,1326.3,1350.61,1204091,16262.59,44537,390187.0,32.41
CDSL,NSE:CDSL,CDSL,EQ,2026-01-27,1326.3,1326.6,1344.8,1297.0,1332.0,1322.1,1319.88,1976187,26083.35,67871,549671.0,27.81
CDSL,NSE:CDSL,CDSL,EQ,2026-01-28,1322.1,1327.0,1359.4,1326.0,1357.8,1356.9,1343.5,1696080,22786.91,44518,682677.0,40.25
CDSL,NSE:CDSL,CDSL,EQ,2026-01-29,1356.9,1357.9,1359.6,1313.3,1324.0,1323.0,1326.02,2530693,33557.49,78040,1222670.0,48.31
CDSL,NSE:CDSL,CDSL,EQ,2026-01-30,1323.0,1317.3,1339.8,1302.1,1319.6,1320.2,1324.25,1830315,24237.87,52151,713660.0,38.99
CDSL,NSE:CDSL,CDSL,EQ,2026-02-01,1320.2,1315.0,1315.9,1196.3,1231.0,1230.3,1253.12,5785378,72497.53,219649,2165456.0,37.43
CDSL,NSE:CDSL,CDSL,EQ,2026-02-02,1230.3,1229.0,1244.6,1195.0,1240.1,1237.2,1218.77,3307440,40310.01,111460,1110528.0,33.58
CDSL,NSE:CDSL,CDSL,EQ,2026-02-03,1237.2,1331.6,1357.3,1318.4,1342.1,1343.0,1339.72,5410284,72482.59,137916,2317108.0,42.83
CDSL,NSE:CDSL,CDSL,EQ,2026-02-04,1343.0,1344.8,1372.0,1329.6,1366.5,1366.3,1352.04,2783558,37634.69,66308,1079342.0,38.78
CDSL,NSE:CDSL,CDSL,EQ,2026-02-05,1366.3,1363.0,1368.0,1340.6,1362.0,1363.3,1355.69,1462213,19823.06,39929,612197.0,41.87
CDSL,NSE:CDSL,CDSL,EQ,2026-02-06,1363.3,1362.0,1362.0,1315.1,1328.9,1331.4,1326.34,1801895,23899.19,54744,523906.0,29.08
CDSL,NSE:CDSL,CDSL,EQ,2026-02-09,1331.4,1349.3,1377.4,1342.2,1374.0,1374.3,1363.83,1639681,22362.42,53533,610856.0,37.25
CDSL,NSE:CDSL,CDSL,EQ,2026-02-10,1374.3,1386.5,1412.0,1381.2,1400.0,1400.9,1400.75,2540851,35590.98,71989,686111.0,27.0
CDSL,NSE:CDSL,CDSL,EQ,2026-02-11,1400.9,1407.9,1409.0,1385.0,1395.0,1397.2,1395.6,1302246,18174.2,37208,414549.0,31.83
