symbol,segment,entry_date,entry,cause_gain,cause_bars,cons_bars,cons_dd,lf_ratio,base_num,undercut10,undercut20,undercut50,prior_narrow,relvol_entry,turn20_cr,adr20,purple_red_10d,shallow,mfe,mae,reached_10,dip_before_10,reached_20,dip_before_20,giveback_after_10,r_2,days_2,hit2_2,r_3,days_3,hit2_3,r_5,days_5,hit2_5,r_8,days_8,hit2_8,breadth,idx_above20,year,undercut_rule_ok,liquid_25cr,fast_adr,lf_expanded,early_base,relvol_confirm,clean_cq
CIEINDIA,smallcap,2017-03-02,193.23550165987268,0.25501428086900324,40,5,0.09703196182201335,2.777575202463434,1,True,True,False,True,1.2467395614899508,2.576127966817169,3.3439610979796823,False,True,0.2457255028083185,-0.03395211065879722,True,-0.03395211065879722,True,-0.03395211065879722,False,-1.0,0,False,-1.0,0,False,2.6381700187221235,39,True,2.427943630370633,60,True,0.45026177,True,2017,True,False,False,True,True,True,True
CIEINDIA,smallcap,2018-06-29,235.71523561461765,0.3560902564991275,60,6,0.11988402641990559,2.078804559590997,1,True,True,True,True,14.157807121302513,11.09133222891899,3.9090047733323736,False,True,0.07829396236590092,-0.10552660186832308,False,-0.10552660186832308,False,-0.10552660186832308,False,1.9999999999999993,1,True,0.6666666666666666,3,True,-1.0000000000000009,16,False,-1.0,16,False,0.22627737,False,2018,True,False,True,True,True,True,True
CIEINDIA,smallcap,2023-05-24,438.5147546755963,0.41685506759290925,30,6,0.06895082423252963,1.0828540818055286,6,True,False,False,True,7.0081389595022126,73.97928287240646,4.116133321705467,False,True,0.2707826716241981,-0.024852924731822768,True,-0.024852924731822768,True,-0.024852924731822768,False,-1.0,0,False,0.6666666666666666,2,True,2.5122278907664772,39,True,2.1282611317674918,41,True,0.60491496,True,2023,True,True,True,False,False,True,True
CANFINHOME,smallcap,2015-12-02,180.21425192586483,0.4970588904624873,59,5,0.056974701241015224,0.4935261843068434,5,True,True,False,True,1.3331464795930985,1.6369727679153443,3.2352100068734666,False,True,0.14636651677242596,-0.1351075015668226,True,-0.03172963301221454,False,-0.1351075015668226,True,-1.000000000000002,3,False,-0.9999999999999996,5,False,0.6666666666666666,29,True,-1.0,32,False,0.7366947,True,2015,True,False,False,False,False,True,True
CANFINHOME,smallcap,2018-03-26,474.620767726899,0.3850931357241989,26,7,0.11210776335896866,1.326491395819371,1,True,True,True,True,1.4449132598353338,65.84928484241883,3.7484656254790396,False,True,0.05651671440292616,-0.3207193715733685,False,-0.3207193715733685,False,-0.3207193715733685,False,0.5552670439944545,2,True,-1.0000000000000009,2,False,-1.0,2,False,-1.1475314716295908,3,False,0.18472907,False,2018,True,True,True,True,True,True,True
CGCL,smallcap,2017-07-24,67.58879689550568,0.48415643686015075,27,6,0.12775336636525347,2.1339513399808623,1,True,False,False,True,2.6392769283241777,0.8210617282452584,5.8974232219260605,False,True,0.8418119691492356,-0.21811839615857131,True,-0.02439015659678101,True,-0.21811839615857131,True,-1.0,0,False,2.0,1,True,0.5458761776986079,4,True,-1.0000000000000002,8,False,0.6469072,True,2017,True,False,True,True,True,True,True
CGCL,smallcap,2018-11-30,120.69433045270532,0.7769129186635391,27,6,0.10474448303209172,0.5299749776079075,1,True,True,False,True,1.571731163355181,2.6810094282019423,6.137798875897548,False,True,0.09374982805218579,-0.11171876703467187,False,-0.11171876703467187,False,-0.11171876703467187,False,-1.0,0,False,-1.0,0,False,-0.9999999999999997,40,False,-1.0,40,False,0.4138756,False,2018,True,False,True,False,True,True,True
CGCL,smallcap,2019-02-25,129.0863340683824,0.38439596189725633,58,10,0.0920963768175006,3.101542432149156,2,True,True,True,True,1.5655609566470159,5.550225043918228,4.496567192723772,False,True,0.4086926483202262,-0.09897715672138896,True,-0.09897715672138896,True,-0.09897715672138896,True,-1.0,0,False,-1.0,0,False,-1.0000000000000004,1,False,-1.0000000000000002,1,False,0.5119048,False,2019,True,False,True,True,True,True,True
CGCL,smallcap,2020-12-11,279.7736884034891,0.4158141240207571,56,7,0.04402108871822663,1.9647963455148922,2,True,False,False,True,1.3928874019392412,3.7929200056549073,3.3634580064118333,False,True,0.3123631513020466,-0.031877009118747135,True,-0.031877009118747135,True,-0.031877009118747135,False,-0.9999999999999999,1,False,-1.000000000000003,1,False,3.333333333333333,27,True,2.3015131304251946,45,True,0.87637967,True,2020,True,False,False,True,True,True,True
CGCL,smallcap,2021-05-10,430.2541112204995,0.4571734334640143,48,5,0.13539471282764604,0.9448958913813202,4,True,True,False,True,1.3970852386132748,4.657421352523651,3.6988630181543947,False,True,0.26869931595934027,-0.1014476651737346,True,-0.1014476651737346,True,-0.1014476651737346,False,-1.0,0,False,-1.0,0,False,-1.0,0,False,-1.0,0,False,0.75965667,True,2021,True,False,True,False,False,True,True
